elab_smiles,avg,molregno,organism,pref_name,canonical_smiles,sigma,avg2,label,split0,split1,split2,split3,split4,split5,split6,split7,split8,split9
C#CCCOC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,"(7.508638306165727,)","(627250,)","('Oryctolagus cuniculus',)","(nan,)","('C#CCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1',)",,7.508638306165727,1,train,train,train,train,test,train,train,test,train,train
C=C(C)C(=O)OCCOC(=O)C1=C(C)N=C(C)C(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1,"(8.0,)","(627105,)","('Oryctolagus cuniculus',)","(nan,)","('C=C(C)C(=O)OCCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1',)",,8.0,1,train,train,train,train,test,train,train,train,train,train
C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O,"(7.0,)","(318390,)","('Rattus norvegicus',)","('CANNABIDIOL',)","('C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O',)",,7.0,1,train,test,test,train,test,train,train,train,train,train
C=C(C)CCOC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,"(7.638272163982407,)","(627249,)","('Oryctolagus cuniculus',)","(nan,)","('C=C(C)CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1',)",,7.638272163982407,1,train,train,train,train,train,train,train,train,train,train
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,"(4.702896349850744,)","(255477,)","('Homo sapiens',)","('QUINIDINE',)","('C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12',)",,4.702896349850744,0,train,train,train,test,test,train,train,test,train,train
C=CCN1CCN(CC(C)(C)COC(=O)C2=C(C)N=C(C)C(C(=O)OC)C2c2cccc([N+](=O)[O-])c2)CC1,"(8.045757490560675,)","(1378600,)","('Cavia porcellus',)","('IGANIDIPINE',)","('C=CCN1CCN(CC(C)(C)COC(=O)C2=C(C)NC(C)=C(C(=O)OC)C2c2cccc([N+](=O)[O-])c2)CC1',)",,8.045757490560675,1,test,train,test,train,train,train,test,test,test,train
C=CCOC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,"(7.823908740944319,)","(627252,)","('Oryctolagus cuniculus',)","(nan,)","('C=CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1',)",,7.823908740944319,1,test,train,train,train,train,train,train,train,train,train
C=CCOC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],"(8.096910013008056,)","(627253,)","('Oryctolagus cuniculus',)","(nan,)","('C=CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]',)",,8.096910013008056,1,train,test,train,train,train,test,train,train,train,train
C=CCOC(=O)C1=C(C)N=C(C)C(C(=O)OCC)C1c1ccc2ccccc2c1,"(5.884056823060945,)","(627694,)","('Oryctolagus cuniculus',)","(nan,)","('C=CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccc2ccccc2c1',)",,5.884056823060945,1,train,test,train,train,train,train,train,train,train,train
C=CCOC(=O)C1=C(C)N=C(C)C(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1,"(7.6020599913279625,)","(627251,)","('Oryctolagus cuniculus',)","(nan,)","('C=CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1',)",,7.602059991327962,1,train,train,train,train,train,train,train,train,train,train
C=CCc1ccc(O)c(OC)c1,"(3.7281583934635014,)","(62815,)","('Homo sapiens',)","('EUGENOL',)","('C=CCc1ccc(O)c(OC)c1',)",,3.728158393463501,0,train,test,train,test,train,train,test,train,train,test
C=c1c(C(=O)NCCN(CC)CC)c(C)[nH]c1=Cc1c(O)[nH]c2ccc(F)cc12,"(3.9000003161086063,)","(13048,)","('Homo sapiens',)","('SUNITINIB',)","('CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\\C(=O)Nc3ccc(F)cc32)c1C',)",,3.9000003161086063,0,train,train,train,test,train,train,train,train,test,train
CC#CC(CC(=O)O)c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1,"(4.522878745280337,)","(1146318,)","('Homo sapiens',)","(nan,)","('CC#CC(CC(=O)O)c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1',)",,4.522878745280337,0,train,test,train,train,test,train,train,train,train,train
CC#CC(CC(=O)O)c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1F,"(4.59176003468815,)","(1146312,)","('Homo sapiens',)","(nan,)","('CC#CC(CC(=O)O)c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1F',)",,4.59176003468815,0,train,train,train,train,train,train,train,test,train,train
CC#CC(c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1)c1oc(=O)[nH]c1O,"(5.292429823902063,)","(1146335,)","('Homo sapiens',)","(nan,)","('CC#C[C@@H](c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1)[C@H]1OC(=O)NC1=O',)",,5.292429823902063,1,train,train,test,test,train,test,train,train,train,test
CC(=Cc1ccccc1)C1C=C(c2ccccc2)N=C(C)C1C(=O)SC(C)(C)C,"(4.692503962086787,)","(1727655,)","('Rattus norvegicus',)","(nan,)","('CC1=C(C(=O)SC(C)(C)C)C(/C(C)=C/c2ccccc2)C=C(c2ccccc2)N1',)",,4.692503962086787,0,train,train,train,train,train,test,train,train,train,train
