elab_smiles,avg,molregno,organism,pref_name,canonical_smiles,sigma,avg2,label,split0,split1,split2,split3,split4,split5,split6,split7,split8,split9
Brc1ccc(Nc2ccc(CN3CCC4(CC3)OCCc3sccc34)cc2)cc1,"(5.3703225363459826,)","(2320337,)","('Homo sapiens',)","(nan,)","('Brc1ccc(Nc2ccc(CN3CCC4(CC3)OCCc3sccc34)cc2)cc1',)",,5.370322536345983,1,test,train,test,train,train,train,train,train,train,train
Brc1ccc2[nH]c3c(c2c1)CCCC3Nc1ccccc1,"(4.522878745280337,)","(563660,)","('Homo sapiens',)","(nan,)","('Brc1ccc2[nH]c3c(c2c1)CCCC3Nc1ccccc1',)",,4.522878745280337,0,test,train,test,train,test,train,train,train,train,test
Brc1ccc2c(N=C3NCC4(CN5CCC4CC5)O3)ncnn12,"(5.6020599913279625,)","(2106401,)","('Homo sapiens',)","(nan,)","('Brc1ccc2c(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncnn12',)",,5.6020599913279625,1,test,train,test,train,train,train,train,train,train,train
Brc1cccc2nc(C#Cc3ccccn3)ccc12,"(4.6439741428068775,)","(1524953,)","('Homo sapiens',)","(nan,)","('Brc1cccc2nc(C#Cc3ccccn3)ccc12',)",,4.6439741428068775,0,train,train,test,train,train,train,train,train,train,train
Brc1cnc2nc(N3CCN4CCC3CC4)oc2c1,"(5.638272163982407,)","(600719,)","('Homo sapiens',)","(nan,)","('Brc1cnc2nc(N3CCN4CCC3CC4)oc2c1',)",,5.638272163982407,1,train,train,train,train,train,train,train,train,test,train
Brc1cncc(COCC2(c3ccccc3)CCNCC2)c1,"(4.823908740944319,)","(1523286,)","('Homo sapiens',)","(nan,)","('Brc1cncc(COCC2(c3ccccc3)CCNCC2)c1',)",,4.823908740944319,0,train,test,train,train,train,train,train,train,train,train
C#CCNc1ccnc2sc3c(=O)n(-c4ccc(OC)cc4)cnc3c12,"(4.508638306165727,)","(1150547,)","('Homo sapiens',)","(nan,)","('C#CCNc1ccnc2sc3c(=O)n(-c4ccc(OC)cc4)cnc3c12',)",,4.508638306165727,0,train,train,train,train,train,train,train,train,train,test
C#CCOc1ccc2cc(-c3nn(C(C)(C)C)c(N)c3C(N)=O)ccc2c1,"(4.645891560852599,)","(2537262,)","('Homo sapiens',)","(nan,)","('C#CCOc1ccc2cc(-c3nn(C(C)(C)C)c(N)c3C(N)=O)ccc2c1',)",,4.645891560852599,0,train,train,train,train,train,train,train,train,train,train
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c(C3(C)N=C(N)SC4(COC)CC43)c2)cn1,"(5.161150909262744,)","(2431007,)","('Homo sapiens',)","(nan,)","('C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1',)",,5.161150909262744,1,train,test,train,train,train,train,train,train,train,train
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,"(4.6020599913279625,)","(14785,)","('Homo sapiens',)","('ERLOTINIB',)","('C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1',)",,4.6020599913279625,0,train,train,train,train,train,train,train,test,test,train
C#Cc1cnc(Nc2cnc(C#N)c(OC(C)CN(C)C)n2)cc1NC,"(5.096910013008056,)","(1444205,)","('Homo sapiens',)","(nan,)","('C#Cc1cnc(Nc2cnc(C#N)c(O[C@H](C)CN(C)C)n2)cc1NC',)",,5.096910013008056,1,train,train,train,test,train,test,train,train,train,train
C#Cc1cnc(Nc2cnc(C#N)cn2)cc1NCC1CNCCO1,"(5.086186147616283,)","(2488409,)","('Homo sapiens',)","(nan,)","('C#Cc1cnc(Nc2cnc(C#N)cn2)cc1NC[C@@H]1CNCCO1',)",,5.086186147616283,1,train,test,train,train,train,train,train,train,train,test
C(#Cc1cc(-c2[nH]nc3c2Cc2cc(Cn4ccnc4)ccc2-3)cs1)COc1ccccc1,"(5.844663962534938,)","(375226,)","('Homo sapiens',)","(nan,)","('C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4ccnc4)ccc2-3)cs1)COc1ccccc1',)",,5.844663962534938,1,train,train,train,train,train,test,train,test,train,test
C(#Cc1cc(-c2[nH]nc3c2Cc2cc(Cn4cncn4)ccc2-3)cs1)COc1ccccc1,"(5.769551078621726,)","(375231,)","('Homo sapiens',)","(nan,)","('C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4cncn4)ccc2-3)cs1)COc1ccccc1',)",,5.769551078621726,1,train,train,train,train,train,train,test,train,test,train
C(#Cc1ccc2ccccc2n1)c1ccccn1,"(4.692503962086787,)","(1524949,)","('Homo sapiens',)","(nan,)","('C(#Cc1ccc2ccccc2n1)c1ccccn1',)",,4.692503962086787,0,train,train,train,train,test,train,train,train,train,train
C1=C(CSC(=NC2CCCCC2)NC2CCCCC2)N2CCN=C2S1,"(4.884775539310863,)","(454219,)","('Homo sapiens',)","(nan,)","('C1=C(CS/C(=N\\C2CCCCC2)NC2CCCCC2)N2CCN=C2S1',)",,4.884775539310863,0,test,train,train,test,train,train,train,train,train,train
C1=C(c2ccccc2)c2ccccc2OC12CCNCC2,"(6.167491087293763,)","(469142,)","('Homo sapiens',)","(nan,)","('C1=C(c2ccccc2)c2ccccc2OC12CCNCC2',)",,6.167491087293763,1,test,train,train,test,train,train,train,train,train,train
C1=CCC(c2cc3ccccc3o2)CNC1,"(4.721246399047171,)","(1520881,)","('Homo sapiens',)","(nan,)","('C1=CCC(c2cc3ccccc3o2)CNC1',)",,4.721246399047171,0,train,train,train,train,train,train,train,train,train,train
C1=CCC(c2ccc3ccccc3c2)CNC1,"(4.812479279163537,)","(1516145,)","('Homo sapiens',)","(nan,)","('C1=CCC(c2ccc3ccccc3c2)CNC1',)",,4.812479279163537,0,train,test,train,train,test,train,test,train,test,train
C1=CCOCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(s2)COC1,"(5.142667503568731,)","(1344705,)","('Homo sapiens',)","(nan,)","('C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(s2)COC/1',)",,5.142667503568731,1,train,test,train,train,train,train,train,train,train,train
C1=CCOCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccnc(c2)OCC1,"(5.619788758288394,)","(1344572,)","('Homo sapiens',)","(nan,)","('C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccnc(c2)OCC/1',)",,5.619788758288394,1,train,train,train,test,train,test,test,train,train,train
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,"(5.109650953927742,)","(119288,)","('Homo sapiens',)","('PERHEXILINE',)","('C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1',)",,5.109650953927742,1,test,test,train,test,train,train,train,train,train,test
C1CCC2(C1)C1CN(CC3CC3)CC2CN(CC2CC2)C1,"(5.6020599913279625,)","(1383550,)","('Homo sapiens',)","('TEDISAMIL',)","('C1CCC2(C1)[C@H]1CN(CC3CC3)C[C@@H]2CN(CC2CC2)C1',)",,5.6020599913279625,1,test,train,test,test,train,train,train,test,train,train
C=C(C)COc1ccccc1CN1CCC2(CC1)CCN(C(=O)c1ccncc1)CC2,"(5.794999533025782,)","(573997,)","('Homo sapiens',)","(nan,)","('C=C(C)COc1ccccc1CN1CCC2(CC1)CCN(C(=O)c1ccncc1)CC2',)",,5.794999533025782,1,test,train,test,train,train,test,train,train,train,test
C=C(C)c1ccc(N2CC(CNC(=O)c3ccc(-c4nc5cc(C#N)cc(C(C)C)c5o4)cc3)OC2=O)nc1,"(4.522878745280337,)","(1143443,)","('Homo sapiens',)","(nan,)","('C=C(C)c1ccc(N2CC(CNC(=O)c3ccc(-c4nc5cc(C#N)cc(C(C)C)c5o4)cc3)OC2=O)nc1',)",,4.522878745280337,0,train,train,test,train,train,train,train,train,train,train
C=C(F)COc1ccc(Cl)cc1C1CC1CN,"(5.400116927926312,)","(1839247,)","('Homo sapiens',)","(nan,)","('C=C(F)COc1ccc(Cl)cc1[C@H]1C[C@@H]1CN.Cl',)",,5.400116927926312,1,train,test,train,train,test,train,train,train,train,test
C=C(N(C)Cc1ccc(-c2ccccc2)cc1)N1CCN(C(C)C)CC1,"(5.087150079209026,)","(1173429,)","('Homo sapiens',)","(nan,)","('C=C(N(C)Cc1ccc(-c2ccccc2)cc1)N1CCN(C(C)C)CC1',)",,5.087150079209026,1,train,train,train,test,train,train,train,train,train,train
C=C(c1ccc(N2CC3CC2CN3C)cc1)c1ccc2c(c1)Nc1ccccc1S2,"(4.920818753952375,)","(2746268,)","('Homo sapiens',)","(nan,)","('C=C(c1ccc(N2C[C@@H]3C[C@H]2CN3C)cc1)c1ccc2c(c1)Nc1ccccc1S2',)",,4.920818753952375,0,train,train,train,train,train,train,train,test,test,test
C=C(c1ccc(N2CCC(N(C)C)C2)cc1)c1ccc2c(c1)Nc1ccccc1S2,"(5.2958494831602,)","(2747546,)","('Homo sapiens',)","(nan,)","('C=C(c1ccc(N2CC[C@H](N(C)C)C2)cc1)c1ccc2c(c1)Nc1ccccc1S2',)",,5.2958494831602,1,train,train,train,test,train,test,train,train,test,train
