va,organism,molregno,tid,canonical_smiles,pref_name,chembl_id
[30000.0],Homo sapiens,500908,169,O=C1CC2(CCN(C(=O)N[C@H]3C[C@@H]3c3ccccc3)CC2)Oc2cccnc21,,CHEMBL495993
[4230.0],Oryctolagus cuniculus,1568914,17056,CCOC(=O)C1=C(NC(=O)C(C)C)OC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,,CHEMBL2398393
[2360.0],Oryctolagus cuniculus,1568923,17056,COC(=O)N1C(=O)NC(C)=C(C(=O)OC(C)C)[C@H]1c1cccc([N+](=O)[O-])c1,,CHEMBL2398402
[50118.7],Homo sapiens,88739,169,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,LACOSAMIDE,CHEMBL58323
[6400.0],Homo sapiens,2101950,169,O=C(Nc1ccc(F)cc1)N1N=C(c2ccncc2)CC1c1ccc(F)cc1,,CHEMBL3892579
[8000.0],Homo sapiens,2236106,169,CC(C)[C@@]1(C(=O)O)CC[C@@](C)(c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)C1,,CHEMBL4096195
[4700.0],Oryctolagus cuniculus,1560315,17056,O=C1CC(=O)N(C2CCCC2)C(=O)N1CCC(c1ccccc1)c1ccccc1,,CHEMBL2380911
[100000.0],Cavia porcellus,1480089,106600,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC2CCCCC2)C1c1csc(-c2ccc(Cl)cc2)n1,,CHEMBL2262251
[340.0],Rattus norvegicus,45908,10514,COc1ccc(C2=C(OC(C)=O)c3cccn3-c3ccccc3S2)cc1,,CHEMBL33165
[512.86],Cavia porcellus,1472641,106600,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC2CCCCC2)C1c1[nH]cnc1Cl,,CHEMBL2237115
[22000.0],Cavia porcellus,1480077,106600,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1csc(-c2ccc(Cl)cc2)n1,,CHEMBL2262239
[10000.0],Rattus norvegicus,1562125,10514,C[C@@H]1CN(Cc2ccccc2)[C@H](Cc2ccccc2)CN1,,CHEMBL2385369
[100000000.0],Homo sapiens,363589,169,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,SITAGLIPTIN,CHEMBL1422
[100000.0],Oryctolagus cuniculus,1560291,17056,O=C(O)[C@H]1CC[C@@H](N2C(=O)CC(=O)N(CCc3cccc(Cl)c3)C2=O)C1,,CHEMBL2380888
[1584890.0],Homo sapiens,267163,169,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,DARUNAVIR,CHEMBL1323
[1020.0],Oryctolagus cuniculus,1568922,17056,COC(=O)SC1=NC(C)=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)N1C(=O)OC,,CHEMBL2398401
[13300.0],Homo sapiens,2752105,169,C[C@]1(CN2Cc3nc(-c4ccc(F)cc4)sc3C2)CN=C(N)O1,,CHEMBL5180874
[5400.0],Homo sapiens,2172018,169,O=C(Nc1ccc(F)cc1)N1N=C(c2ccncc2)C[C@H]1c1ccc(F)cc1,,CHEMBL3962647
[2700.0],Oryctolagus cuniculus,678223,17056,CCCCN(CCCC)CCCOc1ccc(-c2cn3ccccc3n2)cc1.Cl,,CHEMBL1204272
[10000.0],Rattus norvegicus,1972666,10514,CC(C)[C@@H](NC(=O)CC1CCN(CCc2ccccc2)CC1)c1ccc(F)cc1,,CHEMBL3638039
[6.22],Cavia porcellus,1471734,106600,CSc1ncc(C2C(C(=O)OCCCc3ccccc3)=C(C)NC(C)=C2C(=O)OC(C)C)n1Nc1ccccc1,,CHEMBL2236217
