va,organism,molregno,tid,canonical_smiles,pref_name,chembl_id
[12589.2],Homo sapiens,690203,165,Cc1cc2c(cc1F)[nH]c(=O)n2C1CCN(C2CCOCC2)CC1,,CHEMBL1223753
[1440.0],Homo sapiens,560749,165,CC(C)CN(C(=O)c1ccccc1-c1ccccc1)[C@H]1CCNC1,,CHEMBL564071
[30000.0],Homo sapiens,2392160,165,CCNC1=N[C@H]2[C@H](O[C@H](CO)C[C@@H]2O)S1,,CHEMBL4520749
[470.0],Homo sapiens,1420373,165,N#Cc1ccc(CCN2CCN(CCc3ccc4c(c3)COC4=O)CC2)cc1OC1CC1,,CHEMBL2146879
[1500.0],Homo sapiens,1161838,165,Cc1ccc(Nc2c(-c3ccc(F)cc3)nc3n2CCN(C(=O)C(C)(C)N)C3)cc1,,CHEMBL1800770
[40000.0],Homo sapiens,2743186,165,CC(C)(F)c1cc(F)ccc1-c1sc2c(ccc3[nH]ncc32)c1Oc1ccc(OC2CN(CCCF)C2)c(F)c1,,CHEMBL5171955
[30000.0],Homo sapiens,2376782,165,CC(C)OC(=O)[C@H](C)N[P@@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](F)(Br)[C@H]1O)Oc1ccccc1,,CHEMBL4469773
[50118.7],Homo sapiens,2484982,165,CNC(=O)c1cc(C(=O)NC2CC2)cn(Cc2cccc3[nH]ccc23)c1=O,,CHEMBL4648431
[16000.0],Homo sapiens,2330661,165,CN(c1ccc(-c2ccc(-n3cc(CO)cn3)cc2O)nn1)C1CC(C)(C)NC(C)(C)C1,,CHEMBL4291213
[48380.0],Homo sapiens,2085006,165,CNC(=O)c1cc(Oc2ccc3nc(NC(=O)c4cc(C(F)(F)F)cc(C(F)(F)F)c4)sc3c2)ccn1,,CHEMBL3799621
[5000.0],Homo sapiens,2316535,165,Cc1c(CN2CCOCC2)cc(-c2ccc(C(C)C)cc2)n1Cc1ccc(F)cc1,,CHEMBL4277084
[37000.0],Homo sapiens,1840955,165,COc1ccc(Oc2ccc(S(=O)(=O)C3(C(=O)NO)CCC4(CCNCC4)C3)cc2)cc1,,CHEMBL3417742
[28200.0],Homo sapiens,1280592,165,CC#CCn1c(N2CCC[C@H](N)C2)c(C#N)c2c1c(=O)n(Cc1nccc3ccccc13)c(=O)n2C,,CHEMBL1951604
[60000.0],Homo sapiens,2783375,165,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(CC)CC2)c1ncc(-c2cc3ccc(=O)n(C)c3cc2OC)[nH]1,,CHEMBL5220969
[8600.0],Homo sapiens,2724247,165,FC1CN(C2COCC2F)CCC1c1cc2nc(Nc3cnn(C4CC4(F)F)c3Cl)ncc2cc1Cl,,CHEMBL5079796
[4300.0],Homo sapiens,1280585,165,Cn1c(=O)c2c(c(C#N)c(N3CCC[C@H](N)C3)n2Cc2ccccc2)n(C)c1=O,,CHEMBL1951597
[30000.0],Homo sapiens,2371634,165,CC[C@H](NC(=O)c1cncc2c1cnn2-c1ccc(F)cc1)c1ccnc(S(C)(=O)=O)c1,,CHEMBL4464625
[524.81],Homo sapiens,2164876,165,Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@H]3c3ccc(C(F)(F)F)cc3F)C2)n1C,,CHEMBL3955505
[32000.0],Homo sapiens,2227879,165,Nc1ccc(F)cc1NC(=O)c1ccc(CNC(=O)/C=C/c2cccnc2)cc1,,CHEMBL4087968
[1070.0],Homo sapiens,1425102,165,CCN(CC)CCSc1nc(-c2cc(OC)c(C#N)cc2Cl)c2c(C#N)c[nH]c2n1,,CHEMBL2158564
[33000.0],Homo sapiens,1573594,165,CC(=O)Nc1cc(Nc2cc(NC3CC3)n3ncc(C#N)c3n2)ccc1Cl,,CHEMBL2409174
[1750.0],Homo sapiens,2294986,165,O=C1N(CCCCC2CCc3cc(-c4ccc(Cl)cc4)ccc3O2)CCN1c1ccncc1,,CHEMBL4216835
[650.0],Homo sapiens,1347595,165,COc1cc(N2C(=O)N(c3ccc(-c4ccc(C(N)=O)cc4)cc3)C(=O)C23CCN(Cc2ncccc2C)CC3)ncn1,,CHEMBL2041177
[4670.0],Homo sapiens,453211,165,CNCc1cc(F)ccc1Oc1ccc(Cl)c(F)c1,,CHEMBL448461
[13000.0],Homo sapiens,1727017,165,COc1ccc(N2C(=O)C(C)(C)C2c2ccccc2OC)cc1,,CHEMBL3220615
[9900.0],Homo sapiens,2289577,165,CS(=O)(=O)c1ccc(OCC2CC2)c(C(=O)N2Cc3cn(-c4ccccc4F)nc3C2)c1,,CHEMBL4211426
[10000.0],Homo sapiens,2400772,165,Nc1ncc(-c2ccc(C(=O)N3CCC(N)C3)cc2)nc1-c1ccc(C(F)(F)F)cc1,,CHEMBL4530341
[1600.0],Homo sapiens,1519608,165,Cc1ccc(C(=O)N(CCCN)[C@@H](c2oc3cc(Cl)ccc3c(=O)c2Cc2ccccc2)C(C)C)cc1,SB-743921,CHEMBL2325429
[1900.0],Homo sapiens,2565810,165,CCC(NC(=O)c1ccc(Cl)cc1)[C@H]1[C@@H]2C[C@@H](n3cnc4c(F)cc(F)cc43)C[C@@H]21,,CHEMBL4872039
[27000.0],Homo sapiens,2077852,165,Cc1c(O)ccc2c1C(=O)N(Cc1ccccc1-c1ccc(F)c(F)c1)C2C(=O)NC(C)(C)C,,CHEMBL3785370
[2200.0],Homo sapiens,2727722,165,CCCCN1CCN(C2(CN(C(=O)CC)c3cccc(C(F)(F)F)n3)CCOCC2)CC1,,CHEMBL5083271
[1800.0],Homo sapiens,415812,165,N#C[C@@H]1CCCN1C(=O)[C@@H]1CN(Cc2ccc(-n3cncn3)cc2)C[C@@H]1N,,CHEMBL399525
[26850.0],Homo sapiens,2761242,165,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CS(=O)(=O)[C@@](C)(CF)C(=N)N2)n1,,CHEMBL5190011
[43000.0],Homo sapiens,1725275,165,COCCN1CCC[C@H](Cn2c(-c3cccnc3C)nc3cn(-c4cccc(OC)c4)nc3c2=O)C1,,CHEMBL3218891
[70000.0],Homo sapiens,2252779,165,Cc1nsc(-c2nnc3n2CCN(C(=O)c2cc(F)c(F)c(F)c2F)[C@@H]3C)n1,,CHEMBL4113428
[13000.0],Homo sapiens,2757398,165,CCOc1ncc(-c2nc(C(F)(F)F)sc2N2CCN(C(=O)Cn3ccc(C)n3)[C@H](C)C2)cn1,,CHEMBL5186167
[3500.0],Homo sapiens,2272854,165,COc1nc2ccc(/C=N/O)cc2cc1C(c1ccccc1)C(O)(CCN(C)C)c1cccc2ccccc12,,CHEMBL4169823
[30000.0],Homo sapiens,2469560,165,FC(F)(F)c1nn(-c2ccc(Cc3nc[nH]n3)cc2)cc1-c1ccc2cc[nH]c2c1,,CHEMBL4633000
[5151.52],Homo sapiens,364055,165,CN(Cc1ccc(-c2ccccc2)cc1)C(=O)N1CCC[C@H]1CN1CCCC1,,CHEMBL216666
[50.12],Homo sapiens,1420299,165,CCCCN1CCC[C@@H]1Cn1nc(Cc2ccc(Cl)cc2)c2cnccc2c1=O,,CHEMBL2146806
[3200.0],Homo sapiens,2358417,165,COc1nc(N[C@@H](C)c2cc3cc(Cl)ccc3[nH]c2=O)ncc1C#N,,CHEMBL4451408
[155000.0],Homo sapiens,2730376,165,O=C1COc2ccc(CNC3CCN(CCn4c(=O)ccc5ccc(Oc6ccccn6)nc54)CC3)nc2N1,,CHEMBL5085925
