va,organism,molregno,tid,canonical_smiles,pref_name,chembl_id
[100000.0],Homo sapiens,2258629,11480,CC1(O)CC[C@@]2(C)[C@H](C[C@@H](N3CCC[C@@H](N)C3)[C@@H]2Oc2ccc(C#N)cc2)C1,,CHEMBL4126938
[15800.0],Homo sapiens,2316335,11480,O=C(NCc1ccc(OC(F)(F)F)c(Cl)c1)c1ccc(S(=O)(=O)Nc2nccs2)c(F)c1,,CHEMBL4276884
[1069.0],Homo sapiens,2485510,11480,O=S(=O)(Nc1ncccn1)c1ccc2c(c1)OCC[C@@H]2c1ccc(C(F)(F)F)cc1-c1ccc(F)cc1,,CHEMBL4648959
[30000.0],Homo sapiens,1603331,11480,Cn1cccc1C(=O)N[C@H]1CCc2nc(N)sc2C1,,CHEMBL3085869
[3981.07],Homo sapiens,1359549,11480,COc1ncc(-c2cccc3c2C[C@H](NC(=O)c2ccc(OCC(F)(F)F)nc2)CO3)cc1F,,CHEMBL2069410
[30000.0],Homo sapiens,2246399,11480,CCNC1=N[C@@H]2C[C@H](O)[C@@H](CO)O[C@@H]2S1,,CHEMBL4107048
[30000.0],Homo sapiens,2424788,11480,CCNC1=N[C@H]2[C@H](O[C@H](CO)C(F)[C@@H]2O)S1,,CHEMBL4554360
[8080.0],Homo sapiens,2157112,11480,CS(=O)(=O)C1CN(C(=O)c2ccc3cc(Oc4ccc(C(F)(F)F)cn4)ccc3n2)C1,,CHEMBL3947741
[220.0],Homo sapiens,2240324,11480,O=C(Nc1cccc(C(F)(F)F)c1-c1cccnc1)c1cccc(-c2ncccc2OC(F)F)c1,,CHEMBL4100413
[7943.28],Homo sapiens,1420803,11480,COc1ncc(-c2cccc(OC(F)F)c2CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)cn1,,CHEMBL2147304
[30000.0],Homo sapiens,2020876,11480,COc1cc(Oc2cccc(F)c2)ccc1-c1nccc2cc(S(=O)(=O)Nc3ccncn3)ccc12,,CHEMBL3687701
[130.0],Homo sapiens,1995007,11480,O=C(NS(=O)(=O)C1CC1)c1cc(C2CC2)c(OCC23CC4CC(C2)C(F)(F)C(C4)C3)cc1F,,CHEMBL3662090
[126000.0],Homo sapiens,1151870,11480,CN1Cc2ccccc2[C@@H](c2ccccc2)N=C1OCc1ccc(NS(C)(=O)=O)cc1.O=C(O)/C=C/C(=O)O,,CHEMBL1788206
[248.0],Homo sapiens,2483818,11480,O=S(=O)(Nc1ccncn1)c1ccc2c(c1)OCC[C@@H]2c1ccc(C(F)(F)F)cc1N1CCOCC1,,CHEMBL4647267
[30000.0],Homo sapiens,2245541,11480,C[C@@]1(O)CC[C@H]2[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](C(=O)Cn4cc(C#N)cn4)CC[C@@H]32)C1,ZURANOLONE,CHEMBL4105630
[3500.0],Homo sapiens,2086784,11480,O=c1n(Cc2nc(-c3c(Cl)cccc3Cl)no2)nc2ccc(-c3ccc(OC(F)(F)F)cc3)cn12,,CHEMBL3810138
[13300.0],Homo sapiens,2752105,11480,C[C@]1(CN2Cc3nc(-c4ccc(F)cc4)sc3C2)CN=C(N)O1,,CHEMBL5180874
[30000.0],Homo sapiens,2015892,11480,COc1cc(C)ccc1-c1nccc2cc(S(=O)(=O)Nc3nccs3)ccc12,,CHEMBL3682767
[30000.0],Homo sapiens,1518925,11480,Cn1nccc1-c1cc(Cl)ccc1Oc1ccc(S(=O)(=O)Nc2ncns2)cc1C#N,,CHEMBL2324753
[20000.0],Homo sapiens,1603338,11480,CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)NCC1CCc2nc(N)sc2C1,,CHEMBL3085876
[30000.0],Homo sapiens,1603330,11480,Cl.Cl.Nc1nc2c(s1)C[C@@H](NC(=O)[C@@H]1CCCN1)CC2,,CHEMBL3085868
[140.0],Homo sapiens,1333323,11480,Cc1ccccc1Cn1ccc2c(OC3CCN(Cc4cscn4)CC3)ncnc21,,CHEMBL2012265
[3162.28],Homo sapiens,1359547,11480,O=C(N[C@@H]1COc2cccc(-c3cccnc3)c2C1)c1ccc(OCC(F)(F)F)nc1,,CHEMBL2069408
[7890.0],Homo sapiens,176203,11480,N=C(NCCCCc1ccccc1)NC(=O)c1cc(Cl)ccc1Cl,,CHEMBL431643
[4100.0],Homo sapiens,2444839,11480,Cn1cc(C2CCCC(C)(C)C2)c2ccc(C(=O)NS(=O)(=O)C3CC3)cc21,,CHEMBL4574408
[11000.0],Homo sapiens,1573821,11480,COc1cc2nnc(C(N)=O)c(Nc3ccc(C)cc3F)c2cc1N1CCCN(C)CC1,,CHEMBL2409398
[33000.0],Homo sapiens,2152220,11480,O=C(NC1CC(F)C1)c1ccc2cc(Oc3ccc(C(F)(F)F)cn3)ccc2n1,,CHEMBL3942849
[30000.0],Homo sapiens,2433621,11480,CCC(c1cn(C)c2cc(C(=O)NS(=O)(=O)C3CC3)ccc12)C(C)(C)C,,CHEMBL4563193
[37200.0],Homo sapiens,2137871,11480,COc1ccc(CCO[C@H]2CCCC[C@@H]2N2CC[C@H](O)C2)cc1OC.Cl,,CHEMBL3928500
[30000.0],Homo sapiens,2015782,11480,O=S(=O)(Nc1ccncn1)c1ccc2c(-c3ccc(C(F)(F)F)cc3C3=CCNCC3)cccc2c1,,CHEMBL3682658
[2400.0],Homo sapiens,2319457,11480,O=C(NCc1ccccc1)[C@@H](c1ccccc1)N1CC2CC(C1)N2C(=O)c1cc(F)ccc1Cl,,CHEMBL4280006
[714.0],Homo sapiens,1990812,11480,CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC23CC4CC(C2)C(F)(F)C(C4)C3)cc1F,,CHEMBL3657937
[4600.0],Homo sapiens,1840148,11480,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](Cc4ccccc4)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N2)NC(=O)[C@H](CSSC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C(N)=O)C(C)C)NC(=O)[C@H](Cc2c[nH]c4ccccc24)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC3=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]2CCCN2C1=O,,CHEMBL3416943
[30000.0],Homo sapiens,2135630,11480,COc1cc(-c2cccc(F)c2)c(Cl)cc1-n1c(=O)ccc2cc(S(=O)(=O)Nc3nncs3)ccc21,,CHEMBL3926259
[7500.0],Homo sapiens,2369094,11480,Cn1cc(-c2ccc(C(F)(F)F)cc2)c2ccc(C(=O)NS(=O)(=O)C(F)(F)F)cc21,,CHEMBL4462085
[30000.0],Homo sapiens,1573735,11480,CCOc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCN(C)C(=O)C1,,CHEMBL2409313
[30.0],Homo sapiens,1333356,11480,Fc1ccccc1Cn1ccc2c(OC3CCN(Cc4ccccn4)CC3)ncnc21,,CHEMBL2012298
[210.0],Homo sapiens,510951,11480,N=C1N[C@H]2[C@H](COC(N)=O)NC(=N)N3CCC(O)(O)[C@]23N1,SAXITOXIN,CHEMBL501134
[6000.0],Homo sapiens,2284578,11480,CC1(C)CN[C@H](c2cc(Cl)cc(Cl)c2)[C@@H](Oc2cc(F)c(S(=O)(=O)Nc3ncns3)cc2F)O1,,CHEMBL4206427
[50000.0],Homo sapiens,2779998,11480,N=C1N[C@H]2[C@H](C(=O)O)NC(=N)N3C[C@H](OC(=O)c4ccccc4)C(O)(O)[C@]23N1,,CHEMBL5208767
[30000.0],Homo sapiens,2397676,11480,Cn1cc(C2CCCNC2)c2ccc(C(=O)NS(=O)(=O)C3CC3)cc21,,CHEMBL4527245
[30000.0],Homo sapiens,2020788,11480,COc1cc(-c2cccc(F)c2)c(C#N)cc1-c1nccc2cc(S(=O)(=O)Nc3nncs3)ccc12,,CHEMBL3687614
[20000.0],Homo sapiens,2441363,11480,Cn1cc(-c2ccc(C(F)(F)F)cc2)c2ccc(C(=O)NS(C)(=O)=O)cc21,,CHEMBL4570932
[4200.0],Homo sapiens,2330093,11480,O=C(NCc1ccccc1)[C@@H](c1ccccc1)N1CC2CCC(C1)N2C(=O)c1cc(F)ccc1Cl,,CHEMBL4290645
[8709.64],Homo sapiens,1160447,11480,Cc1onc(-c2c(Cl)cccc2Cl)c1NC(=O)OCc1ccccc1Cl,,CHEMBL1797388
[30000.0],Homo sapiens,2015767,11480,NC(=O)c1cc(C(F)(F)F)ccc1-c1cccc2cc(S(=O)(=O)Nc3ncns3)ccc12,,CHEMBL3682643
[30000.0],Homo sapiens,2020884,11480,COc1cc(-c2cc(C)cc(F)c2)ccc1-c1nccc2cc(S(=O)(=O)Nc3ccncn3)ccc12,,CHEMBL3687709
[16000.0],Homo sapiens,1427465,11480,O=C(NCc1cccc(OC(F)(F)F)c1)C1c2ccccc2C(=O)N1CCc1ncc(F)cn1,,CHEMBL2164042
[30000.0],Homo sapiens,2447307,11480,Cn1ccc2ccc(C(=O)NS(=O)(=O)C3CC3)cc21,,CHEMBL4576876
[80.0],Homo sapiens,1333238,11480,Clc1cn(Cc2ccccc2)c2ncnc(OC3CCN(Cc4cscn4)CC3)c12,,CHEMBL2012181
[30000.0],Homo sapiens,2025374,11480,N#CCOc1ccccc1-c1nccc2cc(S(=O)(=O)N(OC(=O)C(F)(F)F)c3nccs3)ccc12,,CHEMBL3692154
[23000.0],Homo sapiens,1427815,11480,COc1ccc(CNC(=O)C2c3ccccc3C(=O)N2CCc2ccccn2)cc1,,CHEMBL2164388
[102.0],Homo sapiens,2086853,11480,FC(F)(F)Oc1ccc(-c2ccc3cnc(C(F)(F)F)n3c2)cc1,,CHEMBL3809404
[30000.0],Homo sapiens,1573828,11480,COc1cc2nnc(C(N)=O)c(Nc3ccc(C)cc3F)c2cc1N1CCS(=O)(=O)CC1,,CHEMBL2409405
[30000.0],Homo sapiens,2068914,11480,O=C(Cn1ncccc1=O)Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1,,CHEMBL3764088
[31622.8],Homo sapiens,1420714,11480,Cc1ncc(-c2ccccc2CCNC(=O)c2ccc(COCC(F)(F)F)nc2)cn1,,CHEMBL2147216
[30000.0],Homo sapiens,2015894,11480,COc1cc(Cl)c(Cl)cc1-c1nccc2cc(S(=O)(=O)Nc3nccs3)ccc12,,CHEMBL3682769
[7200.0],Homo sapiens,2382023,11480,CC(C)COc1ncc(-c2cn(C)c3cc(C(=O)NS(C)(=O)=O)c(F)cc23)cc1Cl,,CHEMBL4475017
[30000.0],Homo sapiens,2015763,11480,O=S(=O)(Nc1ncns1)c1ccc2c(-c3ccc(Cl)cc3-c3ccncc3)cccc2c1,,CHEMBL3682639
[1180.0],Homo sapiens,2561111,11480,O=S(=O)(Nc1cscn1)c1cc(F)c(O[C@H]2CCN(CC(F)(F)F)C[C@@H]2c2ccccc2)cc1F,,CHEMBL4867340
[30000.0],Homo sapiens,2205652,11480,O=S(=O)(Nc1nccs1)c1cc(Cl)c(NCC23CCCCN2CCCC3)cc1F,,CHEMBL4065741
[22.0],Homo sapiens,1990827,11480,O=C(NS(=O)(=O)NCCCO)c1cc(C2CC2)c(OCC23CC4CC(CC(C4)C2)C3)cc1F,,CHEMBL3657952
[550.0],Homo sapiens,1333352,11480,Fc1cccc(CN2CCC(Oc3ncnc4c3ccn4Cc3ccccc3)CC2)n1,,CHEMBL2012294
[3400.0],Homo sapiens,2084985,11480,O=C1NCCN1CCOc1nn(-c2ccc(F)cc2F)c2ccc(F)cc12,,CHEMBL3800304
[3000.0],Homo sapiens,1840139,11480,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](Cc4ccccc4)C(=O)N[C@@H](Cc4ccccc4)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N2)NC(=O)[C@H](CSSC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C(N)=O)C(C)C)NC(=O)[C@H](Cc2c[nH]c4ccccc24)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC3=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]2CCCN2C1=O,,CHEMBL3416934
[130.0],Homo sapiens,1333308,11480,CC1(C)C(=O)N(Cc2ccccc2)c2ncnc(OC3CCN(Cc4cscn4)CC3)c21,,CHEMBL2012250
[50.0],Homo sapiens,1333236,11480,Cc1cn(Cc2ccccc2)c2ncnc(OC3CCN(Cc4cscn4)CC3)c12,,CHEMBL2012179
[6940.0],Homo sapiens,2188236,11480,O=S(=O)(Nc1nccs1)c1ccc2c(c1)OCCN2c1cc(Cl)ccc1Cl,,CHEMBL3978865
[7930.0],Homo sapiens,2121083,11480,O=S(=O)(Nc1ccncn1)c1ccc2c(c1)OCCN2c1ccc(C(F)(F)F)cc1Br,,CHEMBL3911712
[1510.0],Homo sapiens,176949,11480,COc1cc(C(=O)NC(=N)NCCCCc2ccccc2)cc(OC)c1OC,,CHEMBL110164
[19000.0],Homo sapiens,2242497,11480,O=S(=O)(Nc1cccc(F)n1)c1cc(Cl)c(NCC23CCCN2CCC3)cc1F,,CHEMBL4102586
[30000.0],Homo sapiens,2020740,11480,COc1ccccc1-c1cncc2cc(S(=O)(=O)Nc3nccs3)ccc12,,CHEMBL3687566
[42000.0],Homo sapiens,2489461,11480,C[C@H](NC(=O)c1cc(C(F)(F)F)nn1C)c1nc(-c2ccnc(C(F)(F)F)c2)no1,,CHEMBL4741793
[3110.0],Homo sapiens,2153600,11480,O=S(=O)(Nc1nccs1)c1ccc2c(c1)OCCN2c1ccc(C(F)(F)F)cc1CC(O)CO,,CHEMBL3944229
[30000.0],Homo sapiens,2497722,11480,CCn1c(-c2cnc(C)nc2)nc2c(-c3cnc4c(c3)[C@](C)(NCC(C)(C)F)C(=O)N4)ncnc21,,CHEMBL4750385
[22000.0],Homo sapiens,1990343,11480,COc1cc(F)c(-c2ccc(C(=O)O)cc2C)cc1-c1ccc(C(F)(F)F)cc1[C@@H]1CC[C@H]2[C@@H](c3cc(C(F)(F)F)cc(C(F)(F)F)c3)OC(=O)N12,,CHEMBL3657473
[30000.0],Homo sapiens,2726335,11480,CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2CCN(Cc3ccccc3)CC2)cc1F,,CHEMBL5081884
[29000.0],Homo sapiens,2260409,11480,CC(C)COc1ncc(-c2ccc(-c3nnc(S(=O)(=O)C4CCC4)[nH]3)cc2F)cc1Cl,,CHEMBL4128718
[572.0],Homo sapiens,1785342,11480,COc1ccc2c(c1)NC1(CCN(C(=O)c3ccc(N(C)C)c(Cl)c3)CC1)c1cccn1-2,,CHEMBL3322775
