dataset,cls,Accuracy,Sensitivity,Specificity,MCC,ppv,npv,ROCcurve,f1
erg,ADA,0.656 ± 0.004,0.664 ± 0.008,0.647 ± 0.008,0.312 ± 0.008,0.656 ± 0.005,0.656 ± 0.005,0.721 ± 0.004,0.660 ± 0.005
erg,KNN,0.741 ± 0.004,0.737 ± 0.006,0.744 ± 0.007,0.482 ± 0.009,0.744 ± 0.005,0.737 ± 0.005,0.801 ± 0.004,0.741 ± 0.004
erg,RF,0.758 ± 0.004,0.746 ± 0.005,0.770 ± 0.005,0.516 ± 0.007,0.766 ± 0.004,0.750 ± 0.004,0.832 ± 0.003,0.756 ± 0.004
erg,SVM,0.723 ± 0.004,0.731 ± 0.005,0.714 ± 0.006,0.445 ± 0.009,0.721 ± 0.005,0.725 ± 0.005,0.793 ± 0.004,0.726 ± 0.004
erg,XGB,0.696 ± 0.003,0.687 ± 0.005,0.705 ± 0.006,0.392 ± 0.007,0.701 ± 0.004,0.690 ± 0.003,0.772 ± 0.003,0.694 ± 0.003
nav,ADA,0.754 ± 0.010,0.749 ± 0.015,0.758 ± 0.015,0.507 ± 0.021,0.735 ± 0.013,0.771 ± 0.011,0.828 ± 0.008,0.742 ± 0.011
nav,KNN,0.783 ± 0.011,0.779 ± 0.014,0.786 ± 0.013,0.564 ± 0.022,0.766 ± 0.013,0.798 ± 0.012,0.842 ± 0.009,0.772 ± 0.012
nav,RF,0.799 ± 0.010,0.766 ± 0.013,0.829 ± 0.011,0.596 ± 0.019,0.800 ± 0.012,0.798 ± 0.010,0.878 ± 0.007,0.783 ± 0.011
nav,SVM,0.785 ± 0.010,0.774 ± 0.014,0.795 ± 0.012,0.569 ± 0.021,0.772 ± 0.011,0.797 ± 0.011,0.851 ± 0.009,0.773 ± 0.011
nav,XGB,0.773 ± 0.008,0.721 ± 0.013,0.820 ± 0.012,0.544 ± 0.016,0.782 ± 0.011,0.766 ± 0.008,0.851 ± 0.006,0.750 ± 0.009
cav,ADA,0.768 ± 0.014,0.793 ± 0.017,0.738 ± 0.022,0.531 ± 0.029,0.789 ± 0.015,0.743 ± 0.017,0.833 ± 0.013,0.791 ± 0.013
cav,KNN,0.747 ± 0.017,0.810 ± 0.019,0.670 ± 0.027,0.486 ± 0.035,0.752 ± 0.017,0.741 ± 0.022,0.809 ± 0.015,0.780 ± 0.015
cav,RF,0.783 ± 0.013,0.804 ± 0.018,0.758 ± 0.022,0.562 ± 0.027,0.804 ± 0.015,0.759 ± 0.017,0.861 ± 0.011,0.804 ± 0.012
cav,SVM,0.762 ± 0.012,0.797 ± 0.014,0.718 ± 0.021,0.517 ± 0.025,0.777 ± 0.013,0.742 ± 0.014,0.821 ± 0.012,0.787 ± 0.011
cav,XGB,0.795 ± 0.013,0.816 ± 0.016,0.769 ± 0.019,0.585 ± 0.026,0.813 ± 0.013,0.773 ± 0.016,0.874 ± 0.010,0.815 ± 0.012
